ScientificName,AphiaID,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Semisulcospira forticosta,999761,Semisulcospira forticosta,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae,Semisulcospira,forticosta
Semisulcospira libertina,741121,Semisulcospira libertina,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae,Semisulcospira,libertina
Gnathagnus elongatus,283182,Xenocephalus elongatus,Animalia,Chordata,Actinopteri,Perciformes,Uranoscopidae,Gnathagnus,elongatus
Kaiwarinus equula,218390,Carangoides equula,Animalia,Chordata,Actinopteri,Carangiformes,Carangidae,Kaiwarinus,equula
Plectorhynchus cinctus,273485,Plectorhinchus cinctus,Animalia,Chordata,Actinopteri,Eupercaria,Haemulidae,Plectorhynchus,cinctus
Psetta maxima,127149,Scophthalmus maximus,Animalia,Chordata,Actinopteri,Pleuronectiformes,Scophthalmidae,Psetta,maxima
Hydrophilus olivaceous,,,,,,,,,
Omphalius rusticus,828305,Tegula rustica,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Omphalius,rusticus
Nordotis discus discus,,,,,,,,,
Onchorhynchus mykiss,127185,Oncorhynchus mykiss,Animalia,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
Photololigo chinensis,,,,,,,,,
Kareius bicoloratus,281212,Kareius bicoloratus,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Kareius,bicoloratus
Dosinorbis japonicus,,,,,,,,,
Nordotis gigantea,,,,,,,,,
Peronidia venulosa,,,,,,,,,
Sulculus diversicolor supertexta,,,,,,,,,
Calliurichthys japonicus,273191,Callionymus japonicus,Animalia,Chordata,Actinopteri,Callionymiformes,Callionymidae,Calliurichthys,japonicus
Daicocus peterseni,218160,Dactyloptena peterseni,Animalia,Chordata,Actinopteri,Dactylopteriformes,Dactylopteridae,Daicocus,peterseni
Erythroculter erythropterus,1016987,Chanodichthys erythropterus,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Erythroculter,erythropterus
Koreanomelania nodifila,999795,Koreoleptoxis nodifila,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae,Koreanomelania,nodifila
Koreoleptoxis globus ovalis,999776,Koreoleptoxis globus,Animalia,Mollusca,Gastropoda,Caenogastropoda,Semisulcospiridae,Koreoleptoxis,globus
Semisulcospira amurensis,,,,,,,,,
Cyrtograpsus angulatus,444764,Cyrtograpsus angulatus,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Cyrtograpsus,angulatus
Samastacus spinifrons,885705,Samastacus spinifrons,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Samastacus,spinifrons
Patinigera magellanica,,,,,,,,,
Unio tigridis,571970,Unio tigridis,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Unio,tigridis
Liza strongylocephalus,1042879,Osteomugil cunnesius,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,strongylocephalus
Pelodiscus sinensis,1026091,Pelodiscus sinensis,Animalia,Chordata,,Testudines,Trionychidae,Pelodiscus,sinensis
Luciolates stappersii,1525847,Lates stappersii,Animalia,Chordata,Actinopteri,Carangaria,Latidae,Luciolates,stappersii
Hoplobatrachus rugulosus,1458139,Hoplobatrachus rugulosus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,rugulosus
Gerreomorpha setifer,276967,Gerres setifer,Animalia,Chordata,Actinopteri,Eupercaria,Gerreidae,Gerreomorpha,setifer
Nematolosa nasus,217450,Nematalosa nasus,Animalia,Chordata,Actinopteri,Clupeiformes,Clupeidae,Nematolosa,nasus
Therapon jarbua,218350,Terapon jarbua,Animalia,Chordata,Actinopteri,Centrarchiformes,Terapontidae,Therapon,jarbua
Otolithus argenteus,218641,Otolithes ruber,Animalia,Chordata,Actinopteri,Eupercaria,Sciaenidae,Otolithus,argenteus
Pertica filamentosa,218524,Gerres filamentosus,Animalia,Chordata,Actinopteri,Eupercaria,Gerreidae,Pertica,filamentosa
Fluta alba,281590,Monopterus albus,Animalia,Chordata,Actinopteri,Synbranchiformes,Synbranchidae,Fluta,alba
Hizikia fusiforme,494972,Sargassum fusiforme,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Hizikia,fusiformis
Brongniartella byssoides,631828,Vertebrata byssoides,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Brongniartella,byssoides
Polyides rotunda,145668,Polyides rotunda,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Polyidaceae,Polyides,rotunda
Lamna nasus,105841,Lamna nasus,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Lamna,nasus
Aspius aspius,1015724,Leuciscus aspius,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Aspius,aspius
Liza aurata,1044127,Chelon auratus,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,aurata
Caelorinchus divergens,280274,Coelorinchus divergens,Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Caelorinchus,divergens
Sudanonautes africanus,443559,Sudanonautes africanus,Animalia,Arthropoda,Malacostraca,Decapoda,Potamonautidae,Sudanonautes,africanus
Achatina fulica,881469,Lissachatina fulica,Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinidae,Achatina,fulica
Dorsanum miran,553029,Dorsanum miran,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Dorsanum,miran
Bellamya bengalensis,827331,Filopaludina bengalensis,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Bellamya,bengalensis
Bellamya dissimilis,829341,Idiopoma dissimilis,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Bellamya,dissimilis
Pila globosa,842943,Pila globosa,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pila,globosa
Colisa lalia,1027008,Trichogaster lalius,Animalia,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Colisa,lalia
Liza carinata,1509483,Planiliza carinata,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Liza,carinata
Unio terminalis,1488227,Unio terminalis,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Unio,terminalis
Enydra fluctuans,1104958,Enydra fluctuans,Plantae,Tracheophyta,Magnoliopsida,Asterales,Compositae,Enydra,fluctuans
Brotia costula,740349,Brotia costula,Animalia,Mollusca,Gastropoda,Caenogastropoda,Pachychilidae,Brotia,costula
Treptacantha abies-marina,668468,Treptacantha abies-marina,Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Treptacantha,abies-marina
Ophicephalus striatus,280130,Channa striata,Animalia,Chordata,Actinopteri,Anabantiformes,Channidae,Ophicephalus,striatus
Cyparica samplomoneta,,,,,,,,,
Euscarus cretensis,231441,Sparisoma cretense,Animalia,Chordata,Actinopteri,Eupercaria,Scaridae,Euscarus,cretensis
Tympanotomus fuscatus,527570,Tympanotonos fuscatus,Animalia,Mollusca,Gastropoda,Caenogastropoda,Potamididae,Tympanotomus,fuscatus
Aorichthys aor,1022803,Sperata aor,Animalia,Chordata,Actinopteri,Siluriformes,Bagridae,Aorichthys,aor
Clarius batrachus,,,,,,,,,
Corvina nigra,127010,Sciaena umbra,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Corvina,nigra
Cephalapholis boenak,218182,Cephalopholis boenak,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Cephalopholis,boenak
Valamugil seheli,1043477,Crenimugil seheli,Animalia,Chordata,Actinopteri,Mugiliformes,Mugilidae,Valamugil,seheli
Stizostedion vitreum,275311,Sander vitreus,Animalia,Chordata,Actinopteri,Perciformes,Percidae,Stizostedion,vitreum
Hemisynodontis membranacea,1019481,Synodontis membranaceus,Animalia,Chordata,Actinopteri,Siluriformes,Mochokidae,Hemisynodontis,membranaceus
Pseudolithus senegalensis,,,,,,,,,
Lanistes libycus,836451,Lanistes libycus,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Lanistes,libycus
Harpodon nehereus,217661,Harpadon nehereus,Animalia,Chordata,Actinopteri,Aulopiformes,Synodontidae,Harpodon,nehereus
Mytillus galloprovincialis,140481,Mytilus galloprovincialis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,galloprovincialis
Ophiocephalus maruleus,,,,,,,,,
Pleurogramma monopterygius,,,,,,,,,
Potamida littoralis,1067375,Potomida littoralis,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Potomida,littoralis
Pseudosciaena diacanthus,282382,Protonibea diacanthus,Animalia,Chordata,Actinopteri,Eupercaria,Sciaenidae,Pseudosciaena,diacanthus
Sanguina sanguine,,,,,,,,,
Sebastodes melanops,274817,Sebastes melanops,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastodes,melanops
Sebastodes pinniger,274836,Sebastes pinniger,Animalia,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastodes,pinniger
